code,description
1010693,Other Diagnostic Radiology (Diagnostic Imaging) Related Procedures 
1010736,"Radiologic examination, complex motion (ie, hypercycloidal) body section (eg, mastoid polytomography), other than with urography "
1010748,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision "
1010759,Diagnostic Ultrasound Procedures 
1010760,Diagnostic Ultrasound Procedures of the Head and Neck 
1010771,Diagnostic Ultrasound Procedures of the Chest 
1010774,Diagnostic Ultrasound Procedures of the Abdomen and Retroperitoneum 
1010775,"Ultrasound, abdominal, real time with image documentation "
1010778,"Ultrasound, retroperitoneal (eg, renal, aorta, nodes), real time with image documentation "
1010782,Diagnostic Ultrasound Procedures of the Spinal Canal 
1010784,Diagnostic Ultrasound Procedures of the Pelvis 
1010785,Diagnostic Ultrasound Procedures of the Pelvis Obstetrical 
1010786,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (< 14 weeks 0 days), transabdominal approach "
1010789,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach "
1010792,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach "
1010798,Fetal biophysical profile 
1010801,"Doppler velocimetry, fetal "
1010806,"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display "
1010809,Diagnostic Ultrasound Procedures of the Pelvis Non-Obstetrical 
1010812,"Ultrasound, pelvic (nonobstetric), real time with image documentation "
1010815,Diagnostic Ultrasound Procedures of the Genitalia 
1010819,Diagnostic Ultrasound Procedures of the Extremities 
1010821,"Ultrasound, infant hips, real time with imaging documentation "
1010824,Ultrasonic Guidance Procedures 
1010837,Other Diagnostic Ultrasound Procedures 
1010843,Radiation Oncology Treatment 
1010844,Consultation: Clinical Management for Radiation Treatment 
1010845,Therapeutic radiology treatment planning 
1010849,Therapeutic radiology simulation-aided field setting 
1010855,"Medical Radiation Physics, Dosimetry, Treatment Devices, and Special Services for Radiation Treatment "
1010858,
1010863,
1010868,"Treatment devices, design and construction "
1010875,Radiation Treatment Delivery 
1010877,
1010882,
1010887,
1010895,Neutron Beam Treatment Delivery 
1010896,
1010898,Radiation Treatment Management 
1010904,Proton Beam Radiation Treatment Delivery 
1010905,Proton treatment delivery 
1010910,Radiation Hyperthermia Treatment 
1010911,"Hyperthermia, externally generated "
1010914,Hyperthermia generated by interstitial probe(s) 
1010917,Clinical Intracavitary Radiation Hyperthermia Treatment 
1010919,Clinical Brachytherapy Radiation Treatment 
1010921,Intracavitary radiation source application 
1010925,
1010937,Nuclear Medicine Procedures 
1010938,Diagnostic Nuclear Medicine Procedures 
1010939,Diagnostic Nuclear Medicine Procedures on the Endocrine System 
1010950,Thyroid carcinoma metastases imaging 
1010958,"Diagnostic Nuclear Medicine Procedures on the Hematopoietic, Reticuloendothelial and Lymphatic System "
1010959,Bone marrow imaging 
1010963,"Plasma volume, radiopharmaceutical volume-dilution technique (separate procedure) "
1010966,Red cell volume determination (separate procedure) 
1010978,Diagnostic Nuclear Medicine Procedures on the Gastrointestinal System 
1010979,Liver imaging 
1010984,Liver and spleen imaging 
1010996,"Urea breath test, C-14 (isotopic) "
1010999,
1010F,SEVERITY OF ANGINA ASSESSED BY LEVEL OF ACTIVITY
1011008,Diagnostic Nuclear Medicine Procedures on the Musculoskeletal System 
1011009,Bone and/or joint imaging 
1011015,"Bone density (bone mineral content) study, 1 or more sites "
1011019,Diagnostic Nuclear Medicine Procedures on the Cardiovascular System 
1011024,"Venous thrombosis imaging, venogram "
1011033,"Myocardial imaging, infarct avid, planar "
1011037,"Cardiac blood pool imaging, gated equilibrium "
1011042,"Cardiac blood pool imaging (planar), first pass technique "
1011045,
1011051,Diagnostic Nuclear Medicine Procedures on the Respiratory System 
1011066,Diagnostic Nuclear Medicine Procedures on the Nervous System 
1011067,"Brain imaging, less than 4 static views "
1011074,"Brain imaging, positron emission tomography (PET) "
1011079,"Cerebrospinal fluid flow, imaging (not including introduction of material) "
1011087,Diagnostic Nuclear Medicine Procedures on the Genitourinary System 
1011088,Kidney imaging morphology 
1011104,Other Diagnostic Nuclear Medicine Procedures 
1011105,
1011111,
1011115,Positron emission tomography (PET) imaging 
1011119,Positron emission tomography (PET) with concurrently acquired computed tomography (CT) for attenuation correction and anatomical localization imaging 
1011127,Therapeutic Nuclear Medicine Procedures 
1011136,Pathology and Laboratory Procedures 
1011137,Organ or Disease Oriented Panels 
1011147,
1011148,
1011153,Therapeutic Drug Assays 
1011157,Carbamazepine 
1011174,Phenytoin 
1011189,Evocative/Suppression Testing Procedures 
1011190,ACTH stimulation panel 
1011197,Chorionic gonadotropin stimulation panel 
1011204,Glucagon tolerance panel 
1011211,Insulin tolerance panel 
1011215,Thyrotropin releasing hormone (TRH) stimulation panel 
1011219,Clinical Pathology Consultations 
1011220,Clinical pathology consultation 
1011223,Urinalysis Procedures 
1011224,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents "
1011229,Urinalysis 
1011237,Chemistry Procedures 
1011240,"Ketone body(s) (eg, acetone, acetoacetic acid, beta-hydroxybutyrate) "
1011244,Acylcarnitines 
1011249,Albumin 
1011255,
1011261,Alpha-1-antitrypsin 
1011264,Alpha-fetoprotein (AFP) 
1011269,Amino acids 
1011291,Bile acids 
1011294,Bilirubin 
1011299,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative "
1011309,Calcium 
1011314,Calculus 
1011321,Carboxyhemoglobin 
1011327,Catecholamines 
1011335,Chloride 
1011341,Cholinesterase 
1011345,
1011350,
1011359,Cortisol 
1011363,
1011368,"Creatine kinase (CK), (CPK) "
1011373,Creatinine 
1011394,"Enzyme activity in blood cells, cultured cells, or tissue, not elsewhere specified "
1011401,Estrogens 
1011409,"Fat or lipids, feces "
1011419,Folic acid 
1011425,Galactose-1-phosphate uridyl transferase 
1011428,Gammaglobulin (immunoglobulin) 
1011445,Glucose 
1011452,Glucose-6-phosphate dehydrogenase (G6PD) 
1011464,Gonadotropin 
1011471,Haptoglobin 
1011474,Helicobacter pylori 
1011477,"Heavy metal (eg, arsenic, barium, beryllium, bismuth, antimony, mercury) "
1011480,Hemoglobin fractionation and quantitation 
1011483,Hemoglobin 
1011497,
1011508,Hydroxyproline 
1011511,Immunoassay for analyte other than infectious agent antibody or infectious agent antigen 
1011517,Insulin 
1011525,"Ketosteroids, 17- (17-KS) "
1011534,
1011538,Fetal lung maturity assessment 
1011546,"Lipoprotein, blood "
1011549,"Lipoprotein, direct measurement "
1011557,
1011566,
1011599,Organic acids 
1011604,Osmolality 
1011616,"Phosphatase, acid "
1011628,"Porphobilinogen, urine "
1011631,"Porphyrins, urine "
1011634,
1011637,Potassium 
1011648,Prostate specific antigen (PSA) 
1011652,"Protein, total, except by refractometry "
1011659,Protein 
1011664,"Protoporphyrin, RBC "
1011672,Receptor assay 
1011684,Sodium 
1011693,"Sugars (mono-, di-, and oligosaccharides) "
1011699,Testosterone 
1011705,Thyroxine 
1011714,Transferase 
1011720,Triiodothyronine T3 
1011725,Trypsin 
1011731,Urea nitrogen 
1011736,Uric acid 
1011740,"Urobilinogen, urine "
1011754,"Gonadotropin, chorionic (hCG) "
1011759,Hematology and Coagulation Procedures 
1011761,Blood count 
1011784,Clotting 
1011801,Clotting inhibitors or anticoagulants 
1011811,Coagulation time 
1011816,Fibrin(ogen) degradation (split) products (FDP) (FSP) 
1011820,"Fibrin degradation products, D-dimer "
1011824,Fibrinogen 
1011829,Fibrinolytic factors and inhibitors 
1011835,Heinz bodies 
1011838,"Hemoglobin or RBCs, fetal, for fetomaternal hemorrhage "
1011849,"Osmotic fragility, RBC "
1011856,Russell viper venom time (includes venom) 
1011860,"Sedimentation rate, erythrocyte "
1011864,Thrombin time 
1011869,"Thromboplastin time, partial (PTT) "
1011874,Immunology Procedures 
1011877,Allergen specific IgE 
1011880,Antibody identification 
1011886,Antistreptolysin 0 
1011889,Blood bank physician services 
1011899,Cold agglutinin 
1011902,Complement 
1011910,Deoxyribonucleic acid (DNA) antibody 
1011915,Fluorescent noninfectious agent antibody 
1011921,"Immunoassay for tumor antigen, quantitative "
1011925,Heterophile antibodies 
1011933,Immunoelectrophoresis 
1011937,Immunodiffusion 
1011941,Immunofixation electrophoresis 
1011953,T cells 
1011962,Particle agglutination 
1011965,Rheumatoid factor 
1011969,Skin test 
1011977,"Syphilis test, non-treponemal antibody "
1011980,Antibody 
1011F,ANGINA PRESENT
10120,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE
1012028,Hepatitis B core antibody (HBcAb) 
1012033,
1012036,Antibody 
1012070,Tissue Typing Immunological Procedures 
1012071,"Lymphocytotoxicity assay, visual crossmatch "
1012074,Serum screening for cytotoxic percent reactive antibody (PRA) 
1012077,HLA typing 
1012085,Transfusion Medicine Procedures 
1012089,Antihuman globulin test (Coombs test) 
1012093,"Autologous blood or component, collection processing and storage "
1012096,
10121,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL
1012103,"Blood typing, for paternity testing, per individual "
1012106,Compatibility test each unit 
1012112,"Frozen blood, each unit "
1012116,Hemolysins and agglutinins 
1012123,"Pretreatment of RBCs for use in RBC antibody detection, identification, and/or compatibility testing "
1012127,Pretreatment of serum for use in RBC antibody identification 
1012134,Microbiology Procedures 
1012135,
1012139,"Culture, bacterial "
1012151,"Culture, bacterial "
1012154,"Culture, fungi (mold or yeast) isolation, with presumptive identification of isolates "
1012158,"Culture, fungi, definitive identification, each organism "
1012165,"Culture, typing "
1012172,"Dark field examination, any source (eg, penile, vaginal, oral, skin) "
1012175,Macroscopic examination 
1012181,"Susceptibility studies, antimicrobial agent "
1012190,"Smear, primary source with interpretation "
1012198,Virus isolation 
1012204,Infectious agent antigen detection by immunofluorescent technique 
1012226,
1012251,
1012255,Infectious agent detection by nucleic acid (DNA or RNA) 
1012323,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified "
1012327,"Infectious agent detection by nucleic acid (DNA or RNA), multiple organisms "
1012330,Infectious agent antigen detection by immunoassay with direct optical observation 
1012344,"Infectious agent phenotype analysis by nucleic acid (DNA or RNA) with drug resistance tissue culture analysis, HIV 1 "
1012348,Anatomic Pathology Procedures 
1012349,Postmortem Examination Procedures 
1012350,"Necropsy (autopsy), gross examination only "
1012357,"Necropsy (autopsy), gross and microscopic "
1012363,"Necropsy (autopsy), limited, gross and/or microscopic "
1012366,Necropsy (autopsy) 
1012370,Cytopathology Procedures 
1012371,"Cytopathology, fluids, washings or brushings, except cervical or vaginal "
1012378,Sex chromatin identification 
1012383,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation "
1012386,"Cytopathology smears, cervical or vaginal "
1012389,"Cytopathology, slides, cervical or vaginal "
1012395,"Cytopathology, smears, any other source "
1012399,"Cytopathology, slides, cervical or vaginal (the Bethesda System) "
1012404,"Cytopathology, evaluation of fine needle aspirate "
1012407,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation "
1012412,"Flow cytometry, cell surface, cytoplasmic, or nuclear marker, technical component only "
1012415,"Flow cytometry, interpretation "
1012420,Cytogenetic Studies 
1012421,Tissue culture for non-neoplastic disorders 
1012425,Tissue culture for neoplastic disorders 
1012430,Chromosome analysis for breakage syndromes 
1012434,Chromosome analysis 
1012441,Molecular cytogenetics 
1012447,Chromosome analysis 
1012454,Surgical Pathology Procedures 
1012462,Special stain including interpretation and report 
1012477,
1012480,
1012483,Morphometric analysis 
1012487,
1012492,
1012527,Reproductive Medicine Procedures 
1012534,Cryopreservation 
1012537,Sperm isolation 
1012543,"Assisted oocyte fertilization, microtechnique "
1012546,"Biopsy, oocyte polar body or embryo blastomere, microtechnique (for pre-implantation genetic diagnosis) "
1012549,Semen analysis 
1012555,Sperm evaluation 
1012559,Storage (per year) 
1012564,Thawing of cryopreserved 
1012569,Medicine Services and Procedures 
1012570,"Immune Globulins, Serum or Recombinant Products "
1012589,Immunization Administration for Vaccines/Toxoids 
1012596,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections) "
1012599,Immunization administration by intranasal or oral route 
1012602,"Vaccines, Toxoids "
1012681,Psychiatry Services and Procedures 
1012682,Psychiatric Diagnostic Procedures 
1012716,Other Psychotherapy Procedures 
1012728,"Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy) "
1012737,Biofeedback Services and Procedures 
1012740,Dialysis Services and Procedures 
1012752,Hemodialysis Procedures 
1012757,Miscellaneous Dialysis Services and Procedures 
1012764,Gastroenterology Procedures 
1012772,"Esophagus, gastroesophageal reflux test "
1012788,Gastric Physiology Procedures 
1012793,Ophthalmology Services and Procedures 
1012794,General Ophthalmological Services and Procedures 
1012795,New Patient General Ophthalmological Services and Procedures 
1012796,Ophthalmological services: medical examination and evaluation with initiation of diagnostic and treatment program 
1012799,Established Patient General Ophthalmological Services and Procedures 
1012800,"Ophthalmological services: medical examination and evaluation, with initiation or continuation of diagnostic and treatment program "
1012803,Special Ophthalmological Services and Procedures 
1012805,"Ophthalmological examination and evaluation, under general anesthesia, with or without manipulation of globe for passive range of motion or other manipulation to facilitate diagnostic examination "
1012812,"Visual field examination, unilateral or bilateral, with interpretation and report "
1012822,Ophthalmoscopy Procedures 
1012823,
1012831,Other Specialized Ophthalmological Services and Procedures 
1012838,Anterior segment imaging with interpretation and report 
1012841,Contact Lens Services 
1012842,"Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation "
1012847,"Prescription of optical and physical characteristics of contact lens, with medical supervision of adaptation and direction of fitting by independent technician "
1012854,Spectacle Services (Including Prosthesis for Aphakia) 
1012855,"Fitting of spectacles, except for aphakia "
1012859,Fitting of spectacle prosthesis for aphakia 
1012862,Fitting of spectacle mounted low vision aid 
1012866,Repair and refitting spectacles 
1012871,Special Otorhinolaryngologic Services and Procedures 
1012875,"Treatment of speech, language, voice, communication, and/or auditory processing disorder "
1012883,"Vestibular Function Tests, Without Electrical Recording "
1012888,"Vestibular Function Tests, With Recording (eg, ENG) "
1012897,Audiologic Function Tests 
1012899,Pure tone audiometry (threshold) 
1012906,Bekesy audiometry 
1012926,
1012929,Distortion product evoked otoacoustic emissions 
1012932,Hearing aid examination and selection 
1012935,Hearing aid check 
1012938,Electroacoustic evaluation for hearing aid 
1012943,Evaluative and Therapeutic Otorhinolaryngologic Services 
1012944,"Diagnostic analysis of cochlear implant, patient younger than 7 years of age "
1012947,"Diagnostic analysis of cochlear implant, age 7 years or older "
1012952,"Evaluation for prescription for speech-generating augmentative and alternative communication device, face-to-face with the patient "
1012964,"Evaluation of central auditory function, with report "
1012968,
1012970,Auditory rehabilitation 
1012974,Cardiovascular Procedures 
1012975,Therapeutic Cardiovascular Services and Procedures 
1012978,"Cardioversion, elective, electrical conversion of arrhythmia "
1012981,Cardioassist-method of circulatory assist 
1012986,"Thrombolysis, coronary "
1012989,
1012998,Percutaneous balloon valvuloplasty 
1012F,ANGINA ABSENT
1013002,
1013008,Percutaneous transluminal pulmonary artery balloon angioplasty 
1013011,Cardiography Procedures 
1013012,"Electrocardiogram, routine ECG with at least 12 leads "
1013019,"Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress "
1013026,"Rhythm ECG, 1-3 leads "
1013030,External electrocardiographic recording up to 48 hours by continuous rhythm recording and storage 
1013044,"External patient and, when performed, auto activated electrocardiographic rhythm derived event recording with symptom-related memory loop with remote download capability up to 30 days, 24-hour attended monitoring "
1013050,Echocardiography Procedures 
1013051,Transthoracic echocardiography for congenital cardiac anomalies 
1013057,"Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording) "
1013061,Transesophageal echocardiography for congenital cardiac anomalies 
1013066,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging) "
1013071,Cardiac Catheterization Procedures 
1013100,"Indicator dilution studies such as dye or thermodilution, including arterial and/or venous catheterization "
1013103,Intravascular Doppler velocity and/or pressure derived coronary flow reserve measurement (coronary vessel or graft) during coronary angiography including pharmacologically induced stress 
1013106,Repair Procedures of Structural Heart Defect 
1013109,Intracardiac Electrophysiological Procedures/Studies 
1013121,Comprehensive electrophysiologic evaluation including insertion and repositioning of multiple electrode catheters with induction or attempted induction of arrhythmia 
1013137,Peripheral Arterial Disease Rehabilitation 
1013165,
1013170,Other Cardiovascular Procedures 
1013171,Physician or other qualified health care professional services for outpatient cardiac rehabilitation 
1013175,Non-Invasive Vascular Diagnostic Studies 
1013176,Non-Invasive Cerebrovascular Arterial Studies 
1013178,Duplex scan of extracranial arteries 
1013181,Transcranial Doppler study of the intracranial arteries 
1013187,Non-Invasive Extremity Arterial Studies (Including Digits) 
1013191,Duplex scan of lower extremity arteries or arterial bypass grafts 
1013194,Duplex scan of upper extremity arteries or arterial bypass grafts 
1013197,Non-Invasive Extremity Venous Studies (Including Digits) 
1013199,Duplex scan of extremity veins including responses to compression and other maneuvers 
1013202,Non-Invasive Visceral and Penile Vascular Studies 
1013203,"Duplex scan of arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs "
1013206,"Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts "
1013209,Duplex scan of arterial inflow and venous outflow of penile vessels 
1013212,Non-Invasive Extremity Arterial-Venous Studies 
1013214,Pulmonary Procedures 
1013216,Patient-initiated spirometric recording per 30-day period of time 
1013235,
1013246,"Manipulation chest wall, such as cupping, percussing, and vibration to facilitate lung function "
1013249,"Oxygen uptake, expired gas analysis "
1013256,Noninvasive ear or pulse oximetry for oxygen saturation 
1013263,Allergy and Clinical Immunology Procedures 
1013264,Allergy Testing Procedures 
1013276,
1013281,Allergen Immunotherapy Services and Procedures 
1013282,Professional services for allergen immunotherapy not including provision of allergenic extracts 
1013285,"Professional services for allergen immunotherapy in the office or institution of the prescribing physician or other qualified health care professional, including provision of allergenic extract "
1013295,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy (specify number of doses) 
1013301,Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy 
1013306,Endocrinology Services 
1013309,Neurology and Neuromuscular Procedures 
1013310,Sleep Medicine Testing Procedures 
1013314,Polysomnography 
1013318,Routine Electroencephalography (EEG) Procedures 
1013319,Electroencephalogram (EEG) extended monitoring 
1013322,Electroencephalogram (EEG) 
1013330,Range of Motion Testing 
1013331,
1013336,Range of motion measurements and report (separate procedure) 
1013340,Electromyography Procedures 
1013341,Needle electromyography 
1013360,Intraoperative Neurophysiology Procedures 
1013362,Autonomic Function Testing Procedures 
1013363,Testing of autonomic nervous system function 
1013367,Evoked Potentials and Reflex Testing Procedures 
1013368,"Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system "
1013372,Central motor evoked potential study (transcranial motor stimulation) 
1013381,Special EEG Testing Procedures 
1013390,"Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures "
1013393,"Magnetoencephalography (MEG), recording and analysis "
1013397,Neurostimulators Analysis-Programming Procedures 
1013398,
1013407,Other Neurology and Neuromuscular Procedures 
1013411,Motion Analysis Procedures 
1013417,"Central Nervous System Assessments/Tests (eg, Neuro-Cognitive, Mental Status, Speech Testing) "
1013429,Health Behavior Assessment and Intervention Procedures 
1013430,
1013433,
1013438,Chemotherapy Administration and Other Highly Complex Drug or Highly Complex Biologic Agent Administration 
1013439,Injection and Intravenous Infusion Chemotherapy and Other Highly Complex Drug or Highly Complex Biologic Agent Administration 
1013440,"Chemotherapy administration, subcutaneous or intramuscular "
1013442,Chemotherapy administration 
1013447,"Chemotherapy administration, intravenous infusion technique "
1013451,Intra-Arterial Chemotherapy and Other Highly Complex Drug or Highly Complex Biologic Agent Administration 
1013452,"Chemotherapy administration, intra-arterial "
1013457,Other Injection and Infusion Services 
1013466,Photodynamic Therapy Procedures 
1013468,Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s) 
1013471,Special Dermatological Procedures 
1013474,Photochemotherapy 
1013478,Laser treatment for inflammatory skin disease (psoriasis) 
1013483,Physical Medicine and Rehabilitation Evaluations 
1013490,Physical Medicine and Rehabilitation Modalities 
1013491,Supervised Physical Medicine and Rehabilitation Modalities 
1013492,Application of a modality to 1 or more areas 
1013502,Constant Attendance Physical Medicine and Rehabilitation Modalities 
1013503,Application of a modality to 1 or more areas 
1013510,Physical Medicine and Rehabilitation Therapeutic Procedures 
1013511,"Therapeutic procedure, 1 or more areas, each 15 minutes "
1013526,Work hardening/conditioning 
1013529,Active Wound Care Management 
1013530,"Debridement (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), open wound, (eg, fibrin, devitalized epidermis and/or dermis, exudate, debris, biofilm), including topical application(s), wo... "
1013535,
1013538,Physical Medicine and Rehabilitation Tests and Measurements 
1013541,Orthotic Management and Training and Prosthetic Training 
1013547,Medical Nutrition Therapy Procedures 
1013548,Medical nutrition therapy 
1013552,Acupuncture Procedures 
1013553,"Acupuncture, 1 or more needles "
1013558,Osteopathic Manipulative Treatment Procedures 
1013559,Osteopathic manipulative treatment (OMT) 
1013565,Chiropractic Manipulative Treatment Procedures 
1013566,Chiropractic manipulative treatment (CMT) 
1013571,Education and Training for Patient Self-Management 
1013572,"Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes "
1013575,"Special Services, Procedures and Reports "
1013576,Miscellaneous Medicine Services 
1013581,Hospital mandated on call service 
1013598,Qualifying Circumstances for Anesthesia 
1013603,Moderate (Conscious) Sedation 
1013607,
1013610,Other Medicine Services and Procedures 
1013619,Assembly and operation of pump with oxygenator or heat exchanger (with or without ECG and/or pressure monitoring) 
1013625,Evaluation and Management Services 
1013626,Office or Other Outpatient Services 
1013627,New Patient Office or Other Outpatient Services 
1013638,Established Patient Office or Other Outpatient Services 
1013648,Hospital Observation Services 
1013649,Hospital Observation Care Discharge Services 
1013651,Initial Hospital Observation Care Services 
1013652,New or Established Patient Initial Hospital Observation Care Services 
1013659,Hospital Inpatient Services 
1013660,Initial Hospital Inpatient Care Services 
1013661,New or Established Patient Initial Hospital Inpatient Care Services 
1013668,Subsequent Hospital Care Services 
1013675,Observation or Inpatient Care Services (Including Admission and Discharge Services) 
1013682,Hospital Discharge Services 
1013683,Hospital discharge day management 
1013686,Consultation Services 
1013687,Office or Other Outpatient Consultation Services 
1013688,New or Established Patient Office or Other Outpatient Consultation Services 
1013699,Initial Inpatient Consultation Services 
1013700,New or Established Patient Initial Inpatient Consultation Services 
1013711,Emergency Department Services 
1013712,New or Established Patient Emergency Department Services 
1013723,Other Emergency Department Services 
1013729,Critical Care Services 
1013742,Nursing Facility Services 
1013743,Initial Nursing Facility Care 
1013744,New or Established Patient Comprehensive Nursing Facility Assessments 
1013748,Subsequent Nursing Facility Care 
1013753,Nursing Facility Discharge Services 
1013754,Nursing facility discharge day management 
1013757,Other Nursing Facility Services 
1013759,"Domiciliary, Rest Home (eg, Boarding Home), or Custodial Care Services "
1013760,"New Patient Domiciliary, Rest Home (eg, Boarding Home), or Custodial Care Services "
1013766,"Established Patient Domiciliary, Rest Home (eg, Boarding Home), or Custodial Care Services "
1013771,"Domiciliary, Rest Home (eg, Assisted Living Facility), or Home Care Plan Oversight Services "
1013774,Home Services 
1013775,New Patient Home Services 
1013786,Established Patient Home Services 
1013795,Prolonged Services 
1013796,Prolonged Service With Direct Patient Contact (Except with Office or Other Outpatient Services) 
1013797,
1013800,"Prolonged service in the inpatient or observation setting, requiring unit/floor time beyond the usual service "
1013803,Prolonged Service Without Direct Patient Contact 
1013804,Prolonged evaluation and management service before and/or after direct patient care 
1013807,Prolonged Standby Services 
1013809,Case Management Services 
1013819,Care Plan Oversight Services 
1013820,"Supervision of a patient under care of home health agency (patient not present) in home, domiciliary or equivalent environment (eg, Alzheimer's facility) requiring complex and multidisciplinary care modalities involving regular development and/or revis... "
1013823,"Supervision of a hospice patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of rel... "
1013826,"Supervision of a nursing facility patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, revi... "
1013829,Preventive Medicine Services 
1013830,New Patient Preventive Medicine Services 
1013831,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag... "
1013839,Established Patient Preventive Medicine Services 
1013840,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d... "
1013848,Counseling Risk Factor Reduction and Behavior Change Intervention 
1013849,New or Established Patient Counseling and/or Risk Factor Reduction Intervention Services 
1013850,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure) 
1013855,"Preventive Medicine, Group Counseling Services "
1013856,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to individuals in a group setting (separate procedure) 
1013859,Other Preventive Medicine Services 
1013869,Special Evaluation and Management Services 
1013870,Basic Life and/or Disability Evaluation Services 
1013872,Work Related or Medical Disability Evaluation Services 
1013875,Other Evaluation and Management Services 
1013877,Home Health Procedures and Services 
1013891,Home Infusion Procedures and Services 
1013895,Percutaneous Augmentation and Annuloplasty Procedures 
1013910,Exploration Procedures on the Testis 
1013911,Hysterectomy Procedures 
1013913,Skin Replacement Surgery 
1013919,Introduction Procedures on the Head 
1013922,Vascular Introduction and Injection Procedures 
1013946,Anterior Cranial Fossa Skull Base Procedures 
1013947,Shunt Procedures on the Anterior Sclera of the Eye 
1013955,Clinical Treatment Planning (External and Internal Sources) for Radiation Treatment 
1013981,Other Pathology and Laboratory Procedures 
1013988,Non-invasive Physiologic Studies and Procedures 
10140,Incision and drainage of seroma
1014043,Anesthesia for 
1014046,
1014047,"Blepharoplasty, lower eyelid "
1014048,"Blepharoplasty, upper eyelid "
1014049,"Excision, sacral pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure "
1014050,"Excision, trochanteric pressure ulcer, in preparation for muscle or myocutaneous flap or skin graft closure "
1014052,Excision of malignant tumor of mandible 
1014053,"Reconstruction midface, LeFort III (extra and intracranial) with forehead advancement (eg, mono bloc), requiring bone grafts (includes obtaining autografts) "
1014054,"Reconstruction of orbital walls, rims, forehead, nasoethmoid complex following intra- and extracranial excision of benign tumor of cranial bone (eg, fibrous dysplasia), with multiple autografts (includes obtaining grafts) "
1014056,"Osteotomy, mandible, segmental "
1014057,Open treatment of palatal or maxillary fracture (LeFort I type) 
1014058,"Incision and drainage, deep abscess or hematoma, soft tissues of neck or thorax "
1014059,Excision first and/or cervical rib 
1014060,Excision or curettage of bone cyst or benign tumor of clavicle or scapula 
1014062,Excision or curettage of bone cyst or benign tumor of proximal humerus 
1014066,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed "
1014067,"Arthrodesis, glenohumeral joint "
1014068,Disarticulation of shoulder 
1014069,"Excision or curettage of bone cyst or benign tumor, humerus "
1014071,Excision or curettage of bone cyst or benign tumor of head or neck of radius or olecranon process 
1014075,"Flexor-plasty, elbow (eg, Steindler type advancement) "
1014080,"Arthroplasty, radial head "
